"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"
"Q29"	"https://wikidata.org/wiki/Q29"	"España"	"https://wikidata.org/wiki/Q3624078
https://wikidata.org/wiki/Q1250464
https://wikidata.org/wiki/Q6256
https://wikidata.org/wiki/Q51576574"	"https://wikidata.org/wiki/Q46
https://wikidata.org/wiki/Q458
https://wikidata.org/wiki/Q1849394
https://wikidata.org/wiki/Q8932
https://wikidata.org/wiki/Q27449"	""	"Espainia"	"https://eu.wikipedia.org/wiki/Espainia"	"España"	"https://es.wikipedia.org/wiki/España"	"Spain"	"https://en.wikipedia.org/wiki/Spain"	"Espagne"	"https://fr.wikipedia.org/wiki/Espagne"	"Spagna"	"https://it.wikipedia.org/wiki/Spagna"	"Spanien"	"https://de.wikipedia.org/wiki/Spanien"	
"Q739"	"https://wikidata.org/wiki/Q739"	"Colombia"	"https://wikidata.org/wiki/Q3624078
https://wikidata.org/wiki/Q7270
https://wikidata.org/wiki/Q859563
https://wikidata.org/wiki/Q6256"	"https://wikidata.org/wiki/Q12585
https://wikidata.org/wiki/Q18
https://wikidata.org/wiki/Q653884
https://wikidata.org/wiki/Q377916"	""	"Kolonbia"	"https://eu.wikipedia.org/wiki/Kolonbia"	"Colombia"	"https://es.wikipedia.org/wiki/Colombia"	"Colombia"	"https://en.wikipedia.org/wiki/Colombia"	"Colombie"	"https://fr.wikipedia.org/wiki/Colombie"	"Colombia"	"https://it.wikipedia.org/wiki/Colombia"	"Kolumbien"	"https://de.wikipedia.org/wiki/Kolumbien"	
"Q18416543"	"https://wikidata.org/wiki/Q18416543"	"Andrés García Zuccardi"	"https://wikidata.org/wiki/Q5"	""	""			"Andrés García Zuccardi"	"https://es.wikipedia.org/wiki/Andrés_García_Zuccardi"	"Andrés García Zuccardi"		"Andrés García Zuccardi"				"Andrés García Zuccardi"		
"Q6581577"	"https://wikidata.org/wiki/Q6581577"	"Acoso escolar"	"https://wikidata.org/wiki/Q240126"	""	"https://wikidata.org/wiki/Q240126"	"eskola jazarpen"	"https://eu.wikipedia.org/wiki/Eskola_jazarpen"	"acoso escolar"	"https://es.wikipedia.org/wiki/Acoso_escolar"	"school bullying"	"https://en.wikipedia.org/wiki/School_bullying"	"harcèlement scolaire"	"https://fr.wikipedia.org/wiki/Harcèlement_scolaire"	"bullismo scolastico"	"https://it.wikipedia.org/wiki/Bullismo_scolastico"	"Mobbing in der Schule"	"https://de.wikipedia.org/wiki/Mobbing_in_der_Schule"	
"Q414"	"https://wikidata.org/wiki/Q414"	"Argentina"	"https://wikidata.org/wiki/Q3624078
https://wikidata.org/wiki/Q6256
https://wikidata.org/wiki/Q512187
https://wikidata.org/wiki/Q6266
https://wikidata.org/wiki/Q10551526"	"https://wikidata.org/wiki/Q12585
https://wikidata.org/wiki/Q286946
https://wikidata.org/wiki/Q18
https://wikidata.org/wiki/Q236118
https://wikidata.org/wiki/Q653884"	""	"Argentina"	"https://eu.wikipedia.org/wiki/Argentina"	"Argentina"	"https://es.wikipedia.org/wiki/Argentina"	"Argentina"	"https://en.wikipedia.org/wiki/Argentina"	"Argentine"	"https://fr.wikipedia.org/wiki/Argentine"	"Argentina"	"https://it.wikipedia.org/wiki/Argentina"	"Argentinien"	"https://de.wikipedia.org/wiki/Argentinien"	
"Q646190"	"https://wikidata.org/wiki/Q646190"	"Congreso de la Nación Argentina"	"https://wikidata.org/wiki/Q189445"	""	""			"Congreso de la Nación Argentina"	"https://es.wikipedia.org/wiki/Congreso_de_la_Nación_Argentina"	"Argentine National Congress"	"https://en.wikipedia.org/wiki/National_Congress_of_Argentina"	"Congrès de la nation argentine"	"https://fr.wikipedia.org/wiki/Congrès_de_la_Nation_argentine"	"Congresso nazionale dell'Argentina"	"https://it.wikipedia.org/wiki/Congresso_nazionale_dell'Argentina"	"Argentinischer Nationalkongress"	"https://de.wikipedia.org/wiki/Argentinischer_Nationalkongress"	
"Q4369742"	"https://wikidata.org/wiki/Q4369742"	"Controversias sobre el trastorno por déficit de atención con hiperactividad"	""	""	""			"Controversias sobre el trastorno por déficit de atención e hiperactividad"	"https://es.wikipedia.org/wiki/Controversias_sobre_el_trastorno_por_déficit_de_atención_con_hiperactividad"	"Attention deficit hyperactivity disorder controversies"	"https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder_controversies"	"Controverses sur le TDAH"						
"Q6692974"	"https://wikidata.org/wiki/Q6692974"	"Teoría de la baja excitación"	""	""	""													
"Q2039330"	"https://wikidata.org/wiki/Q2039330"	"Teoría del granjero y el cazador"	"https://wikidata.org/wiki/Q41719"	""	""			"Teoría del granjero y el cazador"	"https://es.wikipedia.org/wiki/Teoría_del_granjero_y_el_cazador"	"Hunter vs. farmer hypothesis"	"https://en.wikipedia.org/wiki/Hunter_versus_farmer_hypothesis"	"théorie du chasseur et de l'agriculteur"	"https://fr.wikipedia.org/wiki/Hypothèse_du_chasseur_et_de_l'agriculteur"					
"Q6691991"	"https://wikidata.org/wiki/Q6691991"	"Trastorno generalizado del desarrollo"	"https://wikidata.org/wiki/Q3087172
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q3087172
https://wikidata.org/wiki/Q12136"	"Garapenaren nahasmendu orokortu"	"https://eu.wikipedia.org/wiki/Garapenaren_nahasmendu_orokortu"	"Trastorno generalizado del desarrollo"	"https://es.wikipedia.org/wiki/Trastorno_generalizado_del_desarrollo"	"pervasive developmental disorder"	"https://en.wikipedia.org/wiki/Pervasive_developmental_disorder"	"trouble envahissant du développement"	"https://fr.wikipedia.org/wiki/Trouble_envahissant_du_développement"	"disturbo pervasivo dello sviluppo"	"https://it.wikipedia.org/wiki/Disturbo_pervasivo_dello_sviluppo"	"tiefgreifende Entwicklungsstörung"	"https://de.wikipedia.org/wiki/Tiefgreifende_Entwicklungsstörung"	
"Q30905103"	"https://wikidata.org/wiki/Q30905103"	"Trastornos neurológicos relacionados con el gluten"	""	""	"https://wikidata.org/wiki/Q19772377"			"Neurogluten"	"https://es.wikipedia.org/wiki/Trastornos_neurológicos_relacionados_con_el_gluten"	"neurological manifestation of gluten sensitivity"								
"Q191779"	"https://wikidata.org/wiki/Q191779"	"Síndrome de Tourette"	"https://wikidata.org/wiki/Q929833
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q1077139
https://wikidata.org/wiki/Q200779
https://wikidata.org/wiki/Q55785843
https://wikidata.org/wiki/Q12136"	"Touretteren sindrome"	"https://eu.wikipedia.org/wiki/Touretteren_sindrome"	"síndrome de Tourette"	"https://es.wikipedia.org/wiki/Síndrome_de_Tourette"	"Tourette syndrome"	"https://en.wikipedia.org/wiki/Tourette_syndrome"	"syndrome de Gilles de La Tourette"	"https://fr.wikipedia.org/wiki/Syndrome_de_Gilles_de_La_Tourette"	"sindrome di Tourette"	"https://it.wikipedia.org/wiki/Sindrome_di_Tourette"	"Tourette-Syndrom"	"https://de.wikipedia.org/wiki/Tourette-Syndrom"	
"Q7817"	"https://wikidata.org/wiki/Q7817"	"Organización Mundial de la Salud"	""	""	""													
"Q1856835"	"https://wikidata.org/wiki/Q1856835"	"Organización Panamericana de la Salud"	"https://wikidata.org/wiki/Q484652
https://wikidata.org/wiki/Q45400320"	""	""			"Organización Panamericana de la Salud"	"https://es.wikipedia.org/wiki/Organización_Panamericana_de_la_Salud"	"Pan American Health Organization"	"https://en.wikipedia.org/wiki/Pan_American_Health_Organization"	"Organisation panaméricaine de la santé"	"https://fr.wikipedia.org/wiki/Organisation_panaméricaine_de_la_santé"			"Panamerikanische Gesundheitsorganisation"	"https://de.wikipedia.org/wiki/Organización_Panamericana_de_la_Salud"	
