17690	gebrannt; verbrannt	burnt; burned	quemado; quemado; incinerado
17691	Fieber	fever	fiebre; calentura
17692	Hitze	heat; burn	calor; ardor; calor y luz del sol; solazo; temperatura elevada
17693	Sonne	sun	sol
17694	Fieber	fever	fiebre
17695	brennen; verbrennen	to burn; to sting; to be hot	hacer calor; quemar el sol; quemar; arder; incendiar; inflamarse; quemarse; incinerar; abrasar el fuego; sol; quemar (arder); quemar o calentar mucho una cosa; incendiarse
17696	brennen (intr.)	to burn (intr.)	quemarse (intr.); acer calor (con sol); solear
17697	Sommer	summer	verano
17698	Sommer	summer	verano
17699	Sonnenstrahlen	sun rays	rayos del sol
17700	nachdenken; meditieren	to think about; to meditate	meditar
17701	taub	deaf	sordo
17702	stumpf	blunt	sin filo
17703	verkrüppelt	disabled; crippled	inválido; lisiado
17704	Beule (am Kopf); Krüppel	bump; lump; cripple	chichón; inválido; lisiado
17705	Hut	hat	sombrero
17706	Meerschweinmännchen; männliches Meerschweinchen	male guinea pig	cuy macho
17707	lahm	lame	cojo
17708	Mais in Garben binden	to sheave corn	hacer gavillas de maíz
17709	Donner	thunder	trueno
17710	Paprika (Art); Peperoni	kind of red pepper or paprika; chillies; pepper	pimiento; variedad de ají muy picante; ají; locoto; rocoto
17711	schneiden; abschlagen	to cut	cortar
17712	Geräusch; Lärm	noise	ruido; alboroto; bullicio; bulla
17713	klingen; lärmen	to sound; to make noise	sonar; alborotar
17714	sieden	to boil	hervir
17715	donnern	to thunder	tronar
17716	großzügig; edelmütig	generous; heartful; affectionate	generoso; prudente; liberal; dadivoso; magnánimo
17717	Kaktus (Art)	kind of cactus	especie de cactus
17718	Dorn	thorn	espina
17719	Strauch (Art); heilige Distel; Pflanze, deren Wurzeln verwendet werden zum Gelb Färben	kind of shrub; holy thistle; plant, roots used in yellow dye	roque; cardo santo; especie de arbusto (rroke); planta cuyas raíces se usan para teñir de amarillo
17720	konstruieren	to construct	construir
17721	Zeitwort; Verb	verb	verbo
17722	wer Dinge tun lässt	who makes do things	el que hace hacer
17723	traditionell	traditional	tradicional
17724	Tradition	tradition	tradición
17725	üben; trainieren; wiederholen; erneut tun	to exercise; to repeat; to do again	ejercitar; volver a hacer
17726	traditionelle Technik	traditional technology	técnica tradicional
17727	traditionelle Technik	traditional technology	técnica tradicional
17728	Kleidung; Kleider	clothes	ropa; vestido; vestimentos; lo que sirve para poner
17729	sich beschäftigen mit	to work at; to occupy oneself with	ocuparse de
17730	durchführbar; ausführbar	executable	ejecutable
17731	Schöpfer; Erschaffer	creator	hacedor
17732	etwas tun gehen	to go to do something	ir a hacer algo
17733	Aufgabe; Verpflichtung; Auftrag; Arbeit	task; obligation; mission; work	tarea; obligación; trabajo; que hacer; ocupación; quehacer; misión; actividad; operación; ejercicio; tejido; labor
17734	Übung; Operation	exercise; operation	ejercicio; operación
17735	Pflichten; Aufgaben	duties	tareas; deberes; chores
17736	leicht (nicht schwierig)	easy	fácil; posible de ser realizado; fácil; practicable; realizable; factible
17737	Ich muss tun	I have to do	Tengo que hacer
17738	beschäftigt	busy; occupied	atareado; ocupado
17739	Fertigkeiten	accomplishements	destrezas; habilidades
17740	Frage, wenn er tut	question, if he/she does	pregunta si el hace...
17741	rückgängig machen	to undo	deshacer
17742	Arbeiter; Diener; Knecht	worker; servant	obrero; peón; trabajador; practicante
17743	wieder herstellen	to restore	restaurar
17744	wiederholen; üben	to repeat; to exercise	repetir; ejercitar; rehacer; entrenar
17745	technisch	technical; technological	técnico
17746	technologisch	technological	tecnológico
17747	Technik	technology; technique	técnica
17748	Technologie	tecnology	tecnología
17749	Technik und praktisches Wissen (Schulfach)	technical studies and practical knowledge (school subject)	tecnología y conocimiento práctico (área)
17750	genossenschaftlich; kooperativ	cooperative	cooperativo
17751	etwas für jemanden tun	to do something for someone	hacérselo algo
17752	Subjekt	subject	sujeto; hacedor
17753	Operator	operator	operador; sujeto
17754	Arbeiter; Schöpfer	worker; builder; creator	trabajador; obrero; autor; creador; hacedor; que hace
17755	fleißig	active	activo
17756	rückgängig machen	to undo	deshacer
17757	üben; trainieren	to practice; to exercise; to train	practicar; ejercitar
17758	Versuch; Experiment	experiment; trial	experimento
17759	erfahren; erproben	to experience; to find out; to test	experimentar
17760	konstruieren	to construct	construir
17761	möglich	possible	posible
17762	getan; gemacht	done; made	realizado; hecho; practicado
17763	Werk	work (opus); deed; achievement	obra; cosa hecha
17764	Lohn; Gehalt	wage; salary	salario; sueldo
17765	Arbeitsbericht	work report	informe sobre lo trabajado
17766	Kompost	compost	compost
17767	Präzedenzfall	precedent	antecedente
17768	zusammen arbeiten	to work together; to collaborate	colaborar
17769	Tat; Aktion; Funktion; Feier; Arbeit; Praxis; Aktivität; Tätigkeit; Betätigung	action; function; ceremony; festivity; duty; practice; activity	acción; acto; ceremonia; trabajo; ocupación labor; acción creativa; labor; práctica; tarea; función; actividad
17770	leichte Arbeit (Hausarbeit und meiste Frauenarbeit)	light work (housework and most women's work)	trabajo ligero (quehaceres domésticos y lo más del trabajo de mujeres)
17771	machen; tun; arbeiten; anwenden	to do; to make; to work; to create; to apply	hacer; realizar; efectuar; ejecutar; construir; elaborar; trabajar; edificar; aplicar; laborar; labrar; obrar; formar; preparar
17772	setzen; stellen; legen	to put	colocar
17773	gestalten; formen	to form	formar
17774	Tatsachen	facts	hechos
17775	bauen; aufbauen	to make; to build; to construct	hacer; construir
17776	bewirken	to effect	efectuar
17777	fähig	able; capable (of)	capaz (de); capaz; apto
17778	Rolle; Aufgabe; Funktion	role; function	rol (función); función
17779	Programm; Tagesordnung	program; programme; agenda	programa (agenda); agenda
17780	Zeitwort; Verb	verb	verbo
17781	Konjugation	conjugation	conjugación
17782	Betriebsprozess	operational process	proceso operativo
17783	helfen zu tun	to help to do	ayudar a hacer; prestar servicios en el trabajo
17784	innen	inside	dentro; interior; adentro
17785	Grund; Boden	ground; soil	fondo; hondo; interior
17786	Inneres	interior	interior
17787	Verzeichnis; Inhaltsverzeichnis	index	índice
17788	hinein	in (direction)	adentro
17789	Taten; Tatsachen	deeds	hechos
17790	Fluss im Departement Lima (Peru); (span.) río Lurín (<Mitte, Inneres)	river in the Department of Lima (Peru); (Span.) río Lurín (<middle, inside)	río en el departamento de Lima (Perú); (esp.) río Lurín (<centro, interior)
17791	Mitte; Zentrum	centre; center; middle	centro
17792	Unterwäsche	underwear	ropa interior
17793	borstig; stachelig	bristled; bristly; prickly; thorny	erizado
17794	Unter-Wanka, historische Region der Wanka, heute die Provinz Concepción im Departement Junín (Peru); (hist.) Lurin Huanca; Hurin Huanca	Lower Wanka, historical region of the Wanka, today the province of Concepción in the Department of Junín (Peru); (hist.) Lurin Huanca; Hurin Huanca	Huanca Baja, región histórica de los Huancas, la provincia actual de Concepción en el departamento de Junín (Perú); (hist.) Lurin Huanca; Hurin Huanca
17795	Unterwäsche	underwear	ropa interior
17796	innen	inside; in between	en medio; adentro; dentro; interiormente
17797	innerhalb; inmitten	inside; in between	en medio de; adentro; en su interior
17798	vertiefen	to deepen	ahondar
17799	Hoden	testicle	testículo; cojón; lóbulo
17800	Ergebnis; Erzeugnis; Produkt	product; produce; result	resultado; producto
17801	Frucht; Same; Samen; Kern	fruit; seed; pit	fruto; fruta; pepita; pepa; semilla; fruto; fruto de plantas; simiente
17802	Ei	egg	huevo
17803	Unternehmen; Firma	enterprise; firm	empresa
17804	anbauen; produzieren; herstellen	to cultivate; to produce	cultivar; producir
17805	kastriert	castrated	castrado
17806	Eier; Hoden	eggs; testicles; balls	testículos; huevos
17807	Früchte; Obst	fruits	frutas
17808	Niere	kidney	riñón
17809	bedrängt sein	to be beset	estar apurado
17810	Obstpflanze; Obstbaum	fruit plant; fruit tree	frutal; fructífero
17811	mit großen Hoden	with big testicles	de testículos grandes; cojonudo
17812	wachsen; Früchte tragen	to grow; to bear fruit	crecer; producir; frutificar; dar frutos; fructificar
17813	rosa	pink	rosado
17814	dünn	thin	delgado
17815	für die Aussaat brandgerodetes Landstück	land burnt down and cleared for sowing	terreno que ha sido quemado y limpiado para sembrar
17816	die Hüllblätter der Maiskolben entfernen	to remove the leaves vocering the corn cobs	despancar
17817	Schur; Haarschnitt; Schälung	shearing; haircut; peeling	esquila; siega; trasquila
17818	Feier, bei dem einem Kind die Haare geschnitten werden	celebration where a child gets haircut	fiesta, donde al niño se le corta el cabello; cortado de cabello
17819	erste Haarschnitt	first haircut	primer corte de pelo
17820	sich schneiden; sich die Haare schneiden	to cut (oneself); to clip one's hair	cortarse; cortarse el cabello; cortarse el pelo
17821	dem die Haare zu schneiden sind	to be sheared	lo que se ha de trasquilar
17822	Sichel	sickle	hoz
17823	Zuschneider; Haarschneider; Frisör	cutter; hair-dresser	cortador; peluquero
17824	Scherer; Haarschneider	shearer	trasquilador; pelador; segador
17825	geschoren	sheared	trasquilado; pelado
17826	Mädchen von 12 bis 18 Jahren (Bedeutung in der Inkazeit); junge Mädchen, die ihren Eltern und Großeltern halfen, den edlen Damen dienten, spannen, kochten, Tiere hüteten und andere Dienste taten	girl, 12 to 18 years old (meaning in Inka times); young girls who helped her parents and grandparents, served the noble ladies, spun, cooked, grazed cattle and did other services	niña (mujer) de 12 a 18 años (sentido en el tiempo inka); motiloncilla que ayudaba a sus padres y abuelos, servía a las señoras principales, hilaba, cocinaba, hacía el pastoreo y otros oficios
17827	geschorener Kopf	sheared head	cabeza trasquilada
17828	Haarschnitt; Frisur; Haarschnitt (findet statt, wenn ein Kind zwei bis fünf Jahre alt ist)	haircut; hairdress; haircut (takes place when the child is between two and five years old)	cortapelo; corte de pelo (tiene lugar cuando el niño está entre los dos y cinco años de edad)
17829	Vlies	fleece	vellón de llama
17830	schneiden; Haare schneiden; sicheln; scheren; schälen; enthaaren	to cut; to shear; to clip; to crop; to peel; to skin; to remove hair from; to harvest crops; to mow	cortar; esquilar; tusar; trasquilar; pelar; cortar con tijera (tijeras); cortar (cabello, cebada, avena); cortar con hoz o tijeras; cortar con tijeras; segar; cortar cabellos; atusar; cortar lana; cortar los cabellos; repelar
17831	Scherer; Haarschneider	shearer	trasquilador; peluquero; peluquera; barbero
17832	brauner Vogel (Art)	kind of brown bird	cachilote; una variedad de pájaro de color marrón
17833	Gottheit, die in den größeren Bergen lebt	deity living in the major mountains	deidad que habita en los cerros mayores
17834	Poncho	poncho	poncho
17835	Entwurf; Projekt	project	proyecto
17836	Baum	tree	árbol; mata
17837	Ast; Zweig	branch	rama
17838	Rad	wheel	rueda
17839	Bündel; Last; Gepäck	bundle; load; luggage; bundle; load carried on the back; package	lío; pelea; rina
17840	zanken; sich streiten	to quarrel	tener riña
17841	bitten um; erbitten; fragen; ersuchen; anflehen	to ask; to ask for; to beseech; to plead; to request	rogar; suplicar
17842	Ruinen	ruins	ruinas
17843	rund	round	redondo; circular
17844	Ruywaq (Vogel mit gelb-schwarzem Gefieder, der bittere Früchte frisst); Santa Rosa (Vogel, in Analogie zum Gewand der Heiligen Rosa)	ruywaq (bird with yellow and black feathers eating bitter fruits); Santa Rosa (bird, in analogy to Saint Rose's habit)	ruihuac (pájaro de plumaje amarillo combinado con negro, se alimenta de frutos amargos); santa rosa (pájaro, por analogía del hábito de la dominica Santa Rosa)
17845	(Konsonant, Phonem der Ketschua-Sprache)	(consonant phoneme of the quechua language)	(fonema consonántico fricativo, alveolar, sordo); (consonante fricativa alveolar); (consonante fricativa dentoalveolar sorda); /s/ consonante fricativa alveolar
17846	Samstag; Sonnabend	Saturday	sábado
17847	Besserwisserin	know-all; prig	sabionda
17848	weise	wise	sabio
17849	wild	wild	silvestre; salvaje
17850	unecht; falsch; fast	false; almost	pseudo; falso; casi
17851	Zigarettenkippe; Zigarettenstummel	cigarette butt	colilla del cigarrillo; cigarrillo a medio fumar
17852	Baum; Strauch; Pflanze; Wildpflanze	tree; bush; plant; wild plant; grass	árbol; arbusto; planta; vegetal; planta silvestre
17853	Ast; Zweig	branch; twig	rama
17854	Wald; Berg; Vegetation; nicht bewirtschafteter Wald (einschließlich Sekundärwald 20 Jahre und mehr nach Rodung); Wald-Ökosysteme unter geringem menschlichen Einfluss, wo die hauptsächlichen Aktivitäten Jagd, Rohstoffgewinnung und rituelle Praktiken sind	jungle; forest; vegetation; mountain; hill; non-cultivated forest (including secondary forest 20 years and more after a field had been cleared); forest ecosystems under low human influence, where the main indigenous activities are hunting, extraction of forest resources, and ritual practices	selva; bosque; arboleda; monte; montaña; cerro; vegetación; bosque no cultivado (también bosque secundario veinte años y mas después de talar); ecosistemas forestales de poca influencia humana, donde las actividades indígenas principales son la cacería, extracción de recursos del bosque y prácticas rituales
17855	Waldhund (kleine wolfartige Raubtiere des Regenwaldes)	forest dog (small wolf-like cornivores oth the jungle); fox	perro salvaje (pequeños carnívoros cánidos de la selva)
17856	Boa constrictor; Riesenschlange (Art) des Regenwalds	boa constrictor; kind of giant serpent of the jungle	boa constrictor; especie de serpiente gigante de la selva
17857	Lanze aus Tropenholz	lance of tropical wood	lanza de madera tropical
17858	Dornbusch	thorn bushes	zarza
17859	Pekari; Nabelschwein	peccary	pecarí
17860	Waldland	forest land	tierra de selva; tierra de bosque
17861	geistige Mutter des Regenwaldes in Gestalt einer riesigen Boa mit Ohren, die schon lange am selben Platz leben soll. Pflanzen wachsen auf ihrem Körper, so dass sie leicht für einen gefallenen Baum gehalten wird. Sie kann den unvorsichtigen Jäger verschlingen, der zufällig auf ihren Körper tritt	spirit mother of the jungle in form of a mythical huge eared boa believed to dwell in the same place for a very long time. Vegetation grows on its body and makes the snake easily be mistaken by a fallen tree. He may devour the unaware hunter who has accidentally stepped on its body	madre espiritual de la selva en forma de una gigante boa con orejas, supuesta de morar al mismo lugar mucho tiempo. Vegetación crece sobre su cuerpo de modo que la toman por un árbol caído. Puede devorar al cazador imprudente que anda por accidente sobre su cuerpo
17862	zum Wald	to the forest	a la selva
17863	Ort mit Pflanzen; Wald	place with plants; forest	lugar de plantas; bosque
17864	Glanzente	muscovy duck	pato brillante; sacha pato
17865	wild	wild	salvaje
17866	Knospe; Haupttrieb; Auge einer Pflanze	bud; main sprout; plant's eye (lit.)	ojo de planta (lit.); yema de planta; la guía principal
17867	Strauch mit dunkelbraunen Kapselfrüchten; Kapernstrauch (Art)	shrub with dark brown capsule fruits; kind of caper-bush	arbusto de frutos cápsula castaño oscura; variedad de alcaparra
17868	Baumharz	tree resin	resina del árbol; goma del árbol
17869	Baumharz	tree resin	resina del árbol; goma del árbol
17870	Dschungel; Urwald	jungle	jungla; selva
17871	Flechte (auf Bäumen, wörtlich Baumrinde)	lichen (on trees, lit. tree bark)	liquen (sobre árboles, lit. cáscara de árboles)
17872	Baumrinde; Borke	tree bark	cáscara de árboles
17873	epiphytische Pflanzen	epiphytic plants	maleza epifítica de arbustos
17874	wildes Meerschweinchen	wild guinea pig	sacha-cuy (especie de roedor); cuy silvestre
17875	Baum (Art)	kind of tree	sachaquera; especie de árbol
17876	Wald	forest	arboleda; bosque
17877	Knollengewächs aus der Kürbisfamilie	tuber plant of the pumpkin familiy	yuca del monte
17878	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	sacha runa; especie de planta medicinal de la selva
17879	böse Geister des Waldes	daemon of the forest	duendes de la selva
17880	Waldbewohner; Wilde; Wilder	people from the forest; savage	hombre del monte; hombre de la selva; salvaje
17881	kollektives Wissen der Vorfahren (Ketschua des ecuadorianischen Amazonastieflands)	ancestral, collective knowledge (Kichwa of the Ecuadorian Amazon)	conocimiento ancestral (Quichua de la Amazonía ecuatoriana)
17882	Wald	forest; stand of trees	bosque; arboleda; selva; matorral; vegetación
17883	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	sacha zapallu panga; especie de planta medicinal de la selva ecuatoriana
17884	wilde Zwiebel; Pflanze des Regenwalds (Art, Hauptnutzung: Nahrung)	wild onion; kind of plant of the jungle (main use: food)	cebolla silvestre; especie de planta de la selva (uso principal: alimento)
17885	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	sacha sindi cara; especie de planta medicinal de la selva ecuatoriana
17886	bartförmige epiphytische Pflanzen an Baumstämmen	beard-like epiphytic plants on tree trunks	plantas epifíticas parecidas a barbas que crecen sobre el tronco de árboles
17887	Baumtomate	tree tomato	tomate de árbol
17888	krautige Pflanze (Art)	kind of herb	sacha t'ula; especie de hierba
17889	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	situli panga; sacha uchan panga; especie de planta medicinal de la selva ecuatoriana
17890	Strauch des Regenwalds (Art, Hauptnutzung: Bootsplanken, Fischerei, Jagdgerät, Dach)	kind of shrub of the jungle (main use: canoe planks, fishing, hunting, roof)	sacha ucsha; especie de arbusto de la selva (uso principal: palanca de canoa, instrumento de pesca, instrumento de caceria, techo)
17891	wildes Tier	wild animal	animal silvestre
17892	Tapir	tapir; lowland tapir	tapir; anta; danta
17893	Mulch (von Gehölzen)	tree mulch	tierra cernida con tierra vegetal
17894	Wachs	wax	cera
17895	aufforsten	to reafforest; to retimber; to restock	forestar; repoblar bosque
17896	wild	wild	silvestre
17897	Naturkatastrophe	natural disaster	desastre natural
17898	Übungsstück, vom Anfänger gewebt	practice piece woven by beginning weaver	pieza de ejercicio tejida por el principiante
17899	Meerschweinchen; weibliches Meerschweinchen	guinea pig; female guinea pig	cuy; cuye; cobayo; cuy hiembra
17900	Provinz im Norden des Departements Potosí (Bolivien)	province in the north of Potosí department (Bolivia)	una provincia del departamento del norte de Potosí (Bolivia)
17901	Samen von wilden Pflanzen, verwendet zur Herstellung eines Musikinstruments	seeds of wild plants used to make a music intrument	shacapas; semillas del monte que sirven para hacer un instrumento musical, parecido a las shacshas; cascabel; campanilla esférica
17902	Klamm; Schlucht	gorge; canyon	cañón; quebrada angosta
17903	getrocknete Bohnen- oder Erbsenpflanze	dried plant of bean or pea	planta seca de frijoles y arvejas
17904	schlau	sly; cunning; crafty	astuto; prudente; listo
17905	Opfergabe	burnt offering	sacrificio
17906	Gerippe; Skelett	skeleton	esqueleto
17907	satt; gesättigt	replete; satisfied	satisfecho; repleto
17908	ausgefranst; verschlissen und ausgefranst	frayed (dress); frayed out	deshilado (vestido); vestido deshilado por las orillas de gastado andrajoso
17909	Borte (viersträhnig geflochten mit fransenartigen Schleifen) als Einfassung von Haku-Tüchern	type of edge binding (of four-strand twined with fringe-like loops) applied to edges of haku	ribete torcido de cuatro madejas con lazos como franjas, fijado a las orillas del haku (mantilla)
17910	sättigen	to satiate	saciar; hartar; satisfacer
17911	sich sättigen; sich satt essen	to satiate oneself; to appease one's hunger; to be full after eating; to be satisfied; to satiate	hartarse; saciarse
17912	Völlerei; Fresserei	gluttony	gula
17913	geschwollen	swollen	hinchado
17914	zerlumpt	ragged; tattered	harapiento
17915	satt; gesättigt	satiated; satisfied; full	saciado; satisfecho; hartado; ahíto
17916	Sattheit; Sättigung	satisfaction	saciedad
17917	Schwellung	swelling	hinchazón
17918	gesättigt sein; sättigen; sich sättigen	to satisfy; to satiate; to appease one's hunger; to satisfy oneself; to be satisfied; to get full or saticfied; to eat too much	saciarse; hartarse; satifacerse; comer hasta el hartazgo; saciar; estar harto; comer hasta hartarse; comer demasiado; comer hasta quedar satisfecho
17919	sich aufblähen	to swell	hincharse
17920	Festung der Hauptstadt Qosqo in der Inkazeit; (span.) Sacsayhuaman (<gesättigter Falke); Sacsahuamán; Inkafestung in Qosqo, deren ursprünglicher Name wahrscheinlich Sasawaman lautet (Çaçça Huaman, Çaççay Huaman, was Königsadler bedeutet und nicht gesättigter Falke, wie allgemein angenommen wird)	fortress of Qosqo in the Inka time; (Span.) Sacsayhuaman (<satisfied falcon); Sacsahuamán; Inka fortress in Qosqo, whose original name is probably Sasawaman (Çaçça Huaman, Çaççay Huaman, which means royal golden eagle and not satisfied falcon as generally interpreted)	fortaleza del Qosqo en el tiempo Inka; (esp.) Sacsayhuaman (<halcón satisfecho); Sacsahuamán; fortaleza del Inca en el Cuzco, cuyo nombre original es probablemente Sasawaman (Çaçça Huaman, Çaççay Huaman, que significa Águila real la mayor y no halcón satisfecho como se ha interpretado generalmente)
17921	typischer Imbiss aus Maiskleie, Maniok, Ei und Anis	typical snack made out of corn bran, yuca, egg and anise	bocadillo típico a base de afrecho de maíz, yuca, chancaca, huevo, anís
17922	Sack; Hemd; Bluse; Jacke	sack; shirt; blouse; jacket	saco, camisa, blusa
17923	Vorschlag	proposal; suggestion	propuesta
17924	vorschlagen	to propose; to suggest	proponer 
17925	masturbieren	to masturbate; to masturbate (vulgar)	masturbarse
17926	huren	to whore; to fornicate; to fornicate (vulgar)	fornicar; adulterar
17927	kopulieren; ficken; Geschlechtsverkehr treiben	to copulate; to fuck	copular
17928	leicht	light (not heavy)	liviano
17929	breit	wide; broad	ancho; rechoncho
17930	erweitern	to widen; to make wider	ensanchar
17931	steinig	stony	pedregoso
17932	[Geräusch beim Kriechen]	[sound of creeping]	[sonido de algo que se arrastra]
17933	Lohn; Gehalt	salary; wages	salario
17934	Ort und Kichwa-Gemeinde in der Provinz Tungurahua (Ecuador); (span.) Salasaca	place and Kichwa community in the province of Tungurahua (Ecuador); (Span.) Salasaca	pueblo y comunidad quichua en la provincia de Tungurahua (Ecuador); (esp.) Salasaca
17935	Puma; Katze (Art)	puma; kind of wild cat	salatama puma; especie de gato salvaje
17936	senkrecht mit der Hand schneiden	to cut vertically with one's hand	cortar con la mano (de una manera vertical)
17937	Schwefel	sulphur	azufre
17938	miteinander Sex haben	to have sex	hacer sexo
17939	Sex machen mit	to make sex with	cubrir el hombre a la mujer; hacer el sexo
17940	Figur	figure	figura
17941	Kopfblume	head flower	flor de cabeza
17942	Stilfigur; Redefigur	figure of speech	figura literaria
17943	Kopfblumenaugen	head flower eyes	ojos de flor de cabeza
17944	Katzenfisch (Art) des Amazonas-Gebiets	kind of catfish of the Amazon	bagre saltón; especie de bagre (pez) de la Amazonía
17945	grüßen	to greet	saludar
17946	tropfen	to drip	chorrear
17947	Konkubine; Geliebte	girl-friend; lover	concubina; querida; conviviente; manceba; enamorada; novia
17948	Geräusch von Steinen oder Donner machen	to make noise of stones and thunder	hacer ruido de piedras y temblores
17949	jemandes Liebe gewinnen	to win the love of	enamorar
17950	rauh	rough	áspero
17951	Schwefel	sulphur; sulfur; brimstone	azufre
17952	störrisch; unbändig; widerspenstig	stubborn; wild	arisco; salvaje; insociable; insocial; inculto; indómito; huraño; bárbaro; montaraz; intratable
17953	wildes Tier	wild animal; beast	animal salvaje; animal del monte
17954	Natur; Wildnis; Bergland; Höhenstufe der Anden von 3500 bis 4000 m; Suni; Puna (in Zentralperu, auch über 4000 m)	nature; wilderness; lofty region; mountain region; altitude level in the Andes from 3500 to 4000 m; suni; puna (in central Peru, also above 4000 m)	naturaleza; tierra desierta; cordillera; jalja; suni; nivel de altitud en los Andes desde 3500 a 4000 m; puna (en Perú central, también más alto de 4000 m); jalca
17955	Kartoffel (Art)	type of potato	especie de papa
17956	Wildkraut	wild herb	hierba silvestre; hierba del monte
17957	wildes Tier	wild animal	animales silvestres
17958	Härte; Festigkeit; Festkörper	hardness; toughness; solid	dureza; consistencia; sólido
17959	Atem; Ruhe	breath; rest	aliento; resuelo; descanso; comida de medio día; reposo; quietud; soplo de vida; pausa
17960	ausruhen lassen	to make someone rest	hacer descansar; acomodar; calmar; hacer respirar; hospedar
17961	Rast; Ruhe	rest; breath	descanso
17962	Atem	breath	aliento
17963	Ort zum Ausruhen	resting place	lugar de descanso; lugar determinado en los caminos para descansar; descansadero; lugar de parada
17964	Komma	comma	coma
17965	Wirtshaus; Gasthaus; Pension; Hotel	lodge or hotel	casa de descanso
17966	keuchen; japsen	to pant	jadear; resollar
17967	Brache	fallow	desocupado (una chacra)
17968	sich ausruhen	to rest	descansarse
17969	ausruhen	to rest	descansar; merendar
17970	aufschieben	to delay; to postpone; to defer; to suspend	suspender (parar o detener)
17971	Ferienzeit	time of vacation	temporada de vacación
17972	Ruhetag; Sonntag	day of rest; Sunday	día de descanso; domingo
17973	ausgeruht	relaxed	descansado
17974	atmen	to breathe	respirar
17975	Ferienzeit	time of vacation	temporada de vacación
17976	seinen letzten Atemzug atmen	to breathe one's last breath	respirar su último aliento
17977	Ort zwischen Betanzos und Potosí (Bolivien)	place between Betanzos and Potosí (Bolivia)	lugar entre Betanzos y Potosí (Bolivia)
17978	Atem; Atemluft; Seele; Geist	breath; air (interior); spirit; soul	aliento; respiración; aire (interior); alma; espíritu; aliento; exhalación; respiro; aire; resuello; hálito
17979	Rast; Ruhe	rest	descanso; recreación
17980	sitzen; sich setzen	to sit	sentarse; estar sentado; posar hospedarse
17981	ausruhen; sich ausruhen; Luft schöpfen	to rest; to exhale deeply; to breathe deeply, especially when tired; to sit	descansar; calmar; cesar; dormir; reposar; exalar; recobrar (el aliento); sentarse; descansar; holgar
17982	atmen	to breathe	respirar; exhalar; resollar
17983	ermüden	to tire	cansarse
17984	atmen; ausatmen	to breathe; to exhale	aspirar; exhalar; respirar
17985	jemandem ins Gesicht atmen	to breathe into one's face	echarle a uno el aliento a la cara
17986	Ferien	vacation	vacaciones; tiempo de descanso; tiempo de ocio
17987	Umgebung; Umwelt	environment	ambiente
17988	Feiertag	holiday	día festivo; feriado; día de descanso o fiesta; feriado
17989	atmen	to breathe	respirar
17990	wieder zu Atem kommen	to get one's breath back	recobrar el aliento
17991	erwürgen; ersticken	to suffocate	sofocar
17992	Luft verschmutzen	to pollute air	contaminar aire
17993	Luft; Aura	air; aura	aire; aura
17994	Pause	pause; break	pausa
17995	tauchen; schwimmen	to dive; to swim	zambullir; nadar
17996	Schicksal; Glück; Erfolg; geläuterte Energie	fortune; luck; success; fortune; refined energy; animating essence; good fortune; happiness	fortuna; ventura; fortuna; exito; alegría; felicidad; suerte; fortuna; energía fina; energía sutil; energía purificada; espíritu; alma; energía vital universal femenina; dicha; suerte feliz; suerte favorable; éxito
17997	Art; Sorte	kind; type; variety; sort	variedad; clase
17998	Grenzstein; Markstein	abuttal; boundary stone; landmark	mojón
17999	Schiedsrichter	arbitrator; judge	arbitro en las competencias de portivas
18000	sein Schicksal herausfordern; Erfolg haben	to tempt providence; to have success	pedir o alcanzar la ventura o el éxito
18001	Befriedigung	satisfaction	satisfacción
18002	gesegnet	blessed	bendito
18003	Erbe (das)	inheritance; heritance; heritage	herencia
18004	Segen	blessing	bendición
18005	gesegnet werden; von der Umgebung geläuterte Energie bekommen	to be blessed; to receive subtle energy from the environment around us	ser bendito; recibir energía sutil del ambiente que nos rodea
18006	gesegnet	blessed	bendito; premiado
18007	segnen; empfehlen; loben; gratulieren	to bless; to commend; to congratulate; to congratulate	bendecir; recomendar; alabar; elogiar; felicitar; cumplimentar; premiar
18008	Verlosung; Auslosung	raffle; lottery	sorteo
18009	losen; verlosen; auslosen	to raffle; to draw lots	sortear
18010	Heilpflanze (Art) des Regenwaldes, zusammen mit Ayawaska für einen halluzinogenen Trank verwendet	kind of medicinal plant of the jungle, used together with ayawaska for a hallucinogenic beverage	samiruca; amiruca; especie de planta medicinal de la selva, usada con ayahuasca para una bebida alucinógena
18011	begeistert; überschwänglich	enthusiastic	entusiástico
18012	Einteilung; Klassifizierung	classification	clasificación
18013	glücklich; beglückt	lucky	venturoso; afortunado; dichoso; feliz
18014	Rand; Rahmen; Ausgrabung	rim; frame; excavation	cerco; excavación
18015	Gefangener	prisoner	prisionero
18016	lebenslängliches Gefängnis, wo die schlimmsten Verbrecher bestraft wurden, indem Schlangen und Kröten zu ihnen in die Zelle geworfen wurden	life-long prison where the most evil criminals were punished by throwing snakes and toads with them into the cell	cárcel perpétua donde penaban los delitos atroces echando con él culebras y sapos
18017	Gefängnis	jail; prison	cárcel
