ID	Deutsch	English	Español	Italiano	Français
18073	eindicken; dickflüssig machen	to thicken (liquid); to become dense	espesar; hacer más denso	inspessire; diventare denso; addensare	
18074	Sanku (Brei) machen	to make sanku	hacer sango	fare il sango	
18075	eindicken; dickflüssig machen	to thicken (liquid); to become dense	espesar; hacer más denso	inspessire; diventare denso; addensare; [riferito a liquido]	
18076	eindicken; dickflüssig werden	to thicken (liquid); to become dense	espesarse	inspessire; diventare denso; addensare; [riferito a liquido]	
18077	Shanllalli (auf Felsen wachsende Pflanze der Puna mit kleinen Blüten. Für Kinder, die zu spät sprechen lernen, wird sie gerieben oder das Wasser ihrer Blüten genommen)	shanllalli (plant of the puna with small flowers growing on rocks. It is rubbed or the water of the flowers is taken for children who are late in learning to speak)	shanllalli (planta de la puna de flores pequeñas que crece en las rocas. Se frota o se hace tomar el agua de sus flores a los niños que tardan en hablar)	shanllalli; [pianta della montagna dai fiori piccoli che cresce sulle rocce; si strofina o si fa mangiare l'acqua dei suoi fiori ai bambini che tardano a parlare]	
18078	Verdauungskanal	alimentary canal	canal digestivo	canale digerente	
18079	schwach	weak	débil; desfallecido	debole; abbattuto	
18080	Spiegelung; glühende Kohlen; Glut	reflection; burning coal; coal (red hot); glow; blaze	reflexión; brasa candente; carbón encendido; ascua; brasa; rescoldo	riflessione; brace ardente; carbone ardente; brace	reflet; éclat lumineux
18081	schwanken; baumeln	to rock; to dangle; to swing	vacilar; tambalear	vacillare; barcollare	
18082	spiegeln; reflektieren	to reflect	reflejar	riflettere	refléter
18083	brennen	to burn	quemar; arder (sin llamas)	bruciare; ardere; [senza fiamma]	
18084	Hoatzin; Vogel (Art)	hoatzin; kind of bird	hoatzin; shansho; especie de ave	shansho; [tipo di uccello]	
18085	Fluss im Departement Ancash (Peru); (span.) río Santa	river in the department of Ancash (Peru); (Span.) río Santa	río en el departamento de Ancash (Perú); (esp.) río Santa	Santa; [fiume nel dipartimento di Ancash, Perù]	
18086	Ameisenvogel (Art)	kind of ant bird	santilica; especie de ave formicárida de la selva ecuatoriana que se alimentan principalmente de hormigas	santilica; [tipo di uccello formichiere della selva dell'Ecuador]	
18087	heilig	holy; saint	santo; santa	santo; santa	
18088	Geburtstag	birthday	cumpleaños	compleanno	
18089	braun; kaffeebraun	brown	café (color)	color caffè	
18090	gesund	healthy	bien (de salud); sano	sano; bene; [riferito allo stato di salute]	
18091	genesen; kurieren; gesund werden	to recover; to convalesce; to cure; to become healthy	convalecer; curar	curare; sanarsi; diventare sano; guarire	guérir (intrans.).
18092	rosa; lila; purpurfarben	purple; lilac	color morado; violeta; lila; morado claro	lilla; viola; violetto; viola chiaro	
18093	lila werden	to become purple	ponerse morado	diventare viola	
18094	Kaffee (Pflanze)	coffee (plant)	café (planta)	caffè; [pianta]; [tax. bin: Coffea arabica]	
18095	töpfern	to make ceramics; to do pottery	producir cerámica	produrre ceramica	
18096	Aluminium	aluminium	aluminio	alluminio	
18097	modellieren	to model	modelar; modelar en cerámica	modellare	
18098	jede; jeder; jedes	every; each; any	cada; cada uno; único; solo	ognuno; ogni; unico; solo	chaque
18099	allein; alleinig; einzig	alone; each; only; unique, the one and only	solo; solitario; sin compañía; singular	solo; solitario; senza compagnia	seul; célibataire
18100	Einzahl; Singular	singular	singular	singolare	
18101	Andenpriester sechsten Grades, dessen physischer Leib von anderen leuchtend gesehen werden kann	male priest of the 6th level; one whose physical body can be seen by others to literally glow with light	sacerdote andino del sexto nivel, cuyo cuerpo físico puede ser visto brillando por otros	prete; [prete del sesto livello il cui corpo fisico può essere visto brillare dagli altri]	
18102	sich absondern	to separate oneself; to isolate oneself	aislarse	isolarsi	
18103	anfangen zu laufen (Kind)	to start walking (infant)	comenzar a andar un bebé	cominciare a camminare; iniziare a camminare; [riferito a bambini]	
18104	einfaches Phonem	simple phoneme	fonema simple	fonema semplice	
18105	halbmonatlich; vierzehntägig	fortnightly; two-week	quincenal	quindicina di giorni; due settimane	
18106	der einzige Herrscher Inka	the Inka ruler; the only Inka	el único rey Inka	unico re inca	
18107	monatlich	monthly	mensual	mensile	
18108	monatlich	monthly	mensual	mensile	
18109	oft	often	con frecuencia; cada vez; todas las veces; habitual	con frequenza; ogni volta; spesso	souvent
18110	allein; einsam; ledig; verwitwet	single; alone; widow; widower; only	sólo; solitario; solo; viudo; soltero; único	singolo; solo; vedovo; unico	
18111	jede; jeder; jedes	everyone; everybody	cada; cada uno; cada una	ogni; ognuno	
18112	allein; nur	only	solo; solamente	solo; solamente	
18113	Witwe; Witwer	widow; widower; orphan; bachelor	viudo; viuda	vedovo; vedova	
18114	Einsamkeit	loneliness	soledad	solitudine	
18115	allein; nur er; er allein; nur sie; sie allein	alone; just he; just she; only	solo; el sólo; sola; único; aislado; desamparado; huérfano; viudo; solitario; soltero; uno solo; unico; él solo no más	solo; sola; unico; unica; isolato; disaccoppiato; orfano; vedovo; solitario; uno solo; solo lui; solo lei; svantaggiato	
18116	eineindeutige Entsprechung	one-to-one correspondence	correspondencia biunívoca	corrispondenza biunivoca	
18117	entfernen; absondern; allein lassen	to take away; to separate; to leave alone	aislar; dejar solo	portare via; separare; lasciare solo; isolare	
18118	gemeinsamer einfacher (monomischer) Faktor	common monomial factor	factor común monomio	monomio fattore comune	
18119	einfacher Satz	simple sentence	oración simple	frase semplice	
18120	Individual-Nomen; Singulativum (etwas Einzelnes bezeichnendes Substantiv)	count noun; singulative noun	sustantivo individual	sostantivo individuale	
18121	Kürbis	pumpkin; squash; type of squash	zapallo; planta parecida a la calabaza; sapallo	zapallo; [pianta simile alla zucca]; [tax. bin: Cucurbita maxima]; [tax. bin: Cucurbita maschata]; [tax. bin: Cucurbita ficcifolia]	
18122	Baum (Art) mit leichtem Holz	kind of tree with light wood	una variedad de árbol de madera liviana	sapallu caspi; [tipo di albero con legno leggero]	
18123	allein	alone	solitario; aislado; sólo; único; solo	solitario; solo; isolato	
18124	jeder; jede	everyone	cada quien; cada uno	ogni; ognuno	
18125	Einheit; Einigkeit	unity	unidad	unità	
18126	Maßeinheit; Einheit (Maß)	unit (of measurement)	unidad (de medida)	unità di misura	
18127	Zopf; Flechte	braid; braid of hair	trenza; trenza de cabello	treccia; [treccia dei capelli]	tresse
18128	einzeln; ledig	solitary	soltero; solitario	solitario	
18129	jeder; jede	everyone	cada quien; cada uno	ognuno; ogni	
18130	Rassismus	racism	racismo	razzismo	
18131	unpaarig; ungerade (Zahl)	odd; unpaired	impar	dispari	
18132	allein	alone	solitario; aislado; sólo; a solas	solitario; isolato; solo	
18133	Population (Statistik)	population (statistics)	población estadística	popolazione statistica	
18134	unverheiratet	unmarried	soltero; soltera	celibe; nubile	
18135	jährlich	annual; yearly	anual	annuale	
18136	Egoist	egoist	egoísta	egoista	égoïste
18137	Prozentsatz; Anteil von Hundert	percentage	porcentaje	percentuale	
18138	injektive Funktion	injective function	inyectiva	funzione iniettiva	
18139	jeden Tag	every day; daily	cada día; cotidianamente; diario	ogni giorno; quotidianamente; giornaliero	
18140	verschieden; unterschiedlich; anders	different	diferente	differente	
18141	andersartig; anders; unterschiedlich	different; distinct	diferente; aparte; particular; especial; único	differente; particolare; speciale; unico	
18142	unterscheiden; trennen	to distinguish; to separate	distinguir; separar; apartar	distinguere; separare	
18143	Einzahl; Singular	singular	singular (número)	singolare; [numero grammaticale]	
18144	einfacher Satz	simple sentence	oración simple	frase semplice	
18145	je ein; jeder einzelne	each	sendos; a cada uno	ciascuno; a ciascuno	
18146	stampfen; trampeln	to stamp	zapatear	sbattere i piedi	
18147	Schuh	shoe	zapato	scarpa	
18148	ich allein und niemand anderes	I alone and no one else	yo solo no más	io solo e nessun altro	
18149	Erzeugung gepaarter Energie-Ringe	creation of paired energy rings	creación de anillos de energía a parejas	sapa yanachakuy; [creazione di anelli di energia a coppie]	
18150	ich der König dieser Erde oder oberster Herr und Richter (Titel des Inka)	I the king of this earth or supreme lord and judge (title of the Inka)	yo el rey de esta tierra o supremo señor y juez (título de Inka)	io il re di questa terra e supremo signore e giudice; [titolo dell'Inca]	
18151	Herr der Edelleute	head of the noblesse	principal de los caballeros nobles	principali dei cavaglieri nobili	
18152	oberster Herr (Herr der Herren, Titel des Inka)	highest lord (lord of the lords, title of the Inka)	mayor señor (señor de los señores, señor por excelencia, título del Inka)	maggior signore; signore dei signori; signore per eccellenza; [titolo dell'Inca]	
18153	einsam werden; als einziger verbleiben	to become alone; to remain the only one	quedarse sólo	rimanere solo	
18154	allein weggehen	to go off alone	salir solo	uscire da solo	
18155	ich der König dieser Erde oder oberster Herr und Richter (Titel des Inka)	I the king of this earth or supreme lord and judge (title of the Inka)	yo el rey de esta tierra o supremo señor y juez (título de Inka)	io il re di questa terra e supremo signore e giudice; [titolo dell'Inca]	
18156	Einsamkeit	loneliness	soledad	solitudine	
18157	Prinzessin	princess	infanta	principessa	
18158	Königin	queen	reina	regina	
18159	grober Poncho	coarse poncho	poncho grueso	poncho grosso	
18160	unverheiratet	unmarried	soltero	celibe	célibataire
18161	Bart; Körperhaare; Schamhaare	beard; hairs of the body; pubic hairs	barba; vellos; bigote; bigotes; vello; pelo en los brutos	barba; peli; baffi	
18162	luftentleert; luftleer	deflated	desinflado	sgonfiato	
18163	gemeinschaftlich; gemeinsam; kommunal; gemeindeeigen; allgemein; gewöhnlich	collective; communal; common; general	colectivo; comunitario; común; general; ordinario; corriente	collettivo; comunale; comune; generale; ordinario; corrente	
18164	Eigenschaften; Charakterisierung	characteristics; characterization	características; característica	caratteristica	
18165	kollektive Rechte	collective rights	derechos colectivos	diritti collettivi	
18166	Finanzen	finance	finanzas	finanze	
18167	Eigenschaften	characteristics	características	caratteristiche	
18168	allgemein; im Allgemeinen	generally	generalmente	generalmente	
18169	gemeinsamer Name	common name	nombre común	nome comune	
18170	Sozialismus	socialism	socialismo	socialismo	
18171	unangepasst; faul	unadjusted	desajustado; flojo	floscio; non sistemato	
18172	erschlaffen; nachlassen	to droop; to slug	aflojar	afflosciare	
18173	unangepasst werden	to become unadjusted	desajustarse	diventare floscio	
18174	kleinwüchsig; unterentwickelt	atrofiado; mal desarrollado	stunted (in growth)	atrofizzato; mal sviluppato	
18175	Kröte	toad	sapo; batracio	rospo; [anfibi appartenenti al genere bufo]; [tax. dom: Eukaryota; reg: Animalia; sre: Eumetazoa; ram: Bilateria; sph: Deuterostomia; phy: Chordata; uph: Vertebrata; iph: Gnathostomata; cla: Amphibia; ucl: Lissamphibia; ord: Anura; fam: bufonidae; gen: bufo]	crapaud
18176	großer Farn des Regenwaldes	big fern of the rain forest	shapumba; shapumba (helecho grande); sapumpa	shapumba; [felce grande]	
18177	Wurzel	root	raíz	radice	racine
18178	Ursprung	origin; beginning	origen; principio	origine; principio	
18179	Wurzel (eines Wortes)	root (of a word)	raíz (de una palabra)	radice; [grammaticale, radice di una parola]	
18180	Fluss in Qosqo	river in Qosqo	río en la ciudad de Cuzco	Saphi; [fiume della città di Cuzco, Perù]	
18181	Wurzeln im Körper (im Hals, im Herzen, im Magen, im Hintern) für die Projektion von Energie	roots in the body (in the neck, the heart, the stomach, the buttocks) for the projection of energy	raíces en el cuerpo (en el cuello, el corazón, el estómago, el trasero) para la proyección de energía	radici nel corpo; [radici per la proiezione dell'energia (collo, cuore, stomaco, fondoschiena)]	
18182	Wurzeln schlagen	to sprout roots; to put down roots; to deepen	echar raíces; arraigar	emettere radici; fare le radici; radicare	s'enraciner
18183	Nachsilbe; Suffix	suffix	sufijo	suffisso	
18184	Wurzeln schlagen	to sprout roots; to put down roots	echar raíces; arraigar	emettere radici; fare le radici; radicare	s'enraciner
18185	die Erweckung der Wurzeln	awaking the roots	despertar las raíces	svegliarsi delle radici; emissione delle radici	
18186	komplex	complex	complejo	complesso	
18187	Wurzeln schlagen	to sprout roots; to put down roots	echar raíces; arraigar; enraizar	emettere radici; fare le radici; radicare	s'enraciner
18188	Wurzeln schlagen	to sprout roots; to put down roots; to deepen	arraigarse; echar raíces; arraigar	emettere radici; fare le radici; radicare	s'enraciner
18189	Wurzeln schlagen	to sprout roots; to put down roots	echar raíces; arraigar	emettere radici; fare le radici; radicare	s'enraciner
18190	Geschwindigkeit	speed	velocidad	velocità	
18191	Chinese	chinese	chino	cinese	
18192	aschfarben; blau; grau	grey; ash-gray; blue	gris; ceniciento; azul	grigio; grigio cenere; cenerino; blu	
18193	rauh	rough	áspero	ruvido	
18194	Netz	web; net	red	rete	
18195	Shaqapa (Baum der Region Rupha-Rupha (Selva alta), dessen trockene Früchte als Schellen dienen)	shacapa (tree of the rupha-rupha (selva alta) region whose dried fruits are used as small bells)	shacapa (árbol de la selva alta cuyos frutos secos sirven de cascabel)	shacapa; [albero della selva alta i cui frutti secchi servono come piccole campanelle]	
18196	rascheln	to rustle	susurrar	sussurrare	
18197	massenweise vorkommen (Früchte, Steinchen, Läuse)	to be abundant (fruits, small stones, lice)	haber a montones; estar en montones; estar en sartas (ref frutos, piedras menudas, piojos)	essere abbondante; averne in abbondanza; [riferito a frutta, piccole pietre, pidocchi, ecc.]	
18198	Löwenzahn	dandelion	diente de león	dente di leone; [tax. bin: Taraxacum officinale]	
18199	etwas unter der Verwahrung jemandes anderen lassen	to leave something under someone else's custody	dejar a una persona algo, bajo la custodia de otra	lasciare in custodia; affidare	
18200	erlauben	to permit	permitir; dejar	permettere; lasciare	
18201	verlassen	to forsake; to abandon; to leave; to desert	abandonar; desamparar; dejar voluntariamente	abbandonare; disertare	
18202	wer verlässt	who leaves	el que deja o abandona	colui che lascia; colui che abbandona	
18203	ich bleibe	I am staying	me quedo (tono cortés)	Rimango; [tono cortese]	
18204	bleiben; zurückbleiben	to stay; to be left; to remain	quedarse	rimanere	
18205	aufgeben; verlassen	to give up; to leave; to abandon; to desert	dejar; abandonar; dejar abandonada a una persona o animal; abandonar de pronto	lasciare; abbandonare; [riferito a persone o animali]	abandonner; laisser
18206	verlassen	to abandon	abandonar	abbandonare	
18207	verlassen	abandoned	abandonado; dejado; desamparado; prescindido	abbandonato; lasciato; disaccoppiato; svantaggiato	
18208	Erbe (das)	inheritance; heritance; heritage	herencia	eredità	
18209	Erbe (der)	heir	heredero	ereditiero	
18210	erben	to inherit	heredar	ereditare	
18211	erlauben Sie mir; erlaube mir	allow me; let me	permítame; déjeme	permettimi; lasciami	
18212	lassen; verlassen; etwas tun lassen; erlauben	to leave; to abandon; to leave alone; to let; to allow	dejar; abandonar; desamparar; desechar; permitir; consentir; prescindir	lasciare; abbandonare; disaccoppiare; permettere; consentire	laisser; abandonner
18213	Faust	fist	puño; mano cerrada; puñete; puñetazo; empuñar	pugno; mano chiusa	
18214	Schlag; Hieb; Faustschlag; Backfeife; Ohrfeige	blow; punch; slap; hit	puñetazo; trompada; bofetada; cachetada	pugno; colpo; schiaffo; sberla	
18215	Schlagring aus Metall	kind of knuckle-duster of metal	especie de manopla de metal	manopola di metallo	
18216	boxen	to box	boxear; darse de puñetes entre dos o más personas; trompearse; pelear a trompadas	fare a pugni; darsi pugni; [tra due o più persone]	
18217	backpfeifen; ohrfeigen; prügeln; boxen	to slap in the face; to slap up the face; to punch; to hit with the fist; to hit; to bash	abofetear; dar puñetazos; propinar puñetes; puñetear; dar puñetes; castigar con golpes de puño; trompear; asestar trompadas	colpire la faccia con un pugno; schiaffeggiare	frapper à coups de poing; se battre à coups de poing; coup de poing
18218	hässlich; schlecht; böse	filthy; nauseating; ugly; bad; mean; evil	feo; desagradable; mal; obsceno; cruel; horrible; malo demonio; tacaño; travieso; maligno; malo; malvado; perverso; muy malo; sin valor	brutto; orribile; male; osceno; crudele; demonio; taccagno; avido; birbante; maligno; perverso; molto cattivo	mauvais (sens moral); méchant
18219	Teufel	devil	diablo; demonio	diavolo	
18220	altes und zerrissenes Kürbisgefäß	old and ragged pumkin container	mate viejo y rajado	contenitore vecchio e crepato	
18221	Zauberei; Hexerei	magic; sorcery; witchcraft; wizardry	brujería	stregoneria; incantesimo; magia	
18222	kleines Loch	little hole	hueco pequeño	buco piccolo; forellino; foro	
18223	übernatürlich mächtiges Wesen, das unter der Erde lebt und allgemein als böse angesehen wird (vertreten durch Schlangen, Eidechsen, Kröten und unterirdisch lebende Tiere)	supernaturally powerful being who lives underground and who is generally thought to be evil (represented by snakes, lizards, toads, and animals that live underground); negative and destructive energies subject to the laws of the Creator and under the control of the Children of the Sun, the Inkas, have limited power, well-controlled from pre-Inka times to arrival of the Spaniards because the people lived in harmony with the laws of the universe, with the Spanish invasion, were liberated and joined forces with the Spaniards, thus enabling the latter to destroy the Inkan Empire	ser sobrenaturalmente poderoso que vive subterráneo y que es generalmente considerado mal (representado por serpientes, lagartos, sapos y animales que viven subterráneo)	saqra; essere soprannaturalmente potente che vive sotto terra e che generalmente è considerato negativamente; è rappresentato da serpenti, lucertole, rospi e animali che vivono nel sottosuolo]	
18224	stinkend	stinking	pestilente	pestilente	
18225	Gift	poison	veneno	veleno	poison
18226	schlecht lebend	of bad life	de mala vida	malavitoso	de mauvaise vie
18227	geizig sein; böse sein	to be mean	ser avaro	essere avaro	
18228	pinselförmiger Kamm	brush-shaped comb	peine en forma de brocha	pettine a forma di spazzola	
18229	verachten	to despise	despreciar; menospreciar	disprezzare; deprezzare	regarder de travers; mépriser (personne)
18230	Hagel	hail	el granizo	grandine	grêle
18231	unfruchtbar; steril	sterile; infertile	árido; estéril; infecundo	arido; sterile; infecondo	stérile (terrain ou plante)
18232	verunstalten; entstellen	to disfigure; to distort	afear; volverlo malo a alguien; endemoniar	sfigurare; distorcere	
18233	roh (Mensch); barsch; rauh	rough (person); rude; rough	áspero (persona); áspero; escabroso; tosco; torpe; jaspeado; manchado; moteado	rude; scabro; ruvido; [riferito al carattere di una persona o a una cosa]	
18234	gefleckt	spotted	moteado; abigarrado	macchiato; maculato	
18235	Schelle; Glöckchen; Franse	little bell; handbell; fringe	cascabel; fleco	campanella	
18236	Saum eines Tuches	scalloped edge of a shawl	borde de manta	bordo dello scialle	
18237	bestimmte Speise mit Ulluku, Fleisch und Gewürzen	kind of meal; plate of food with papa lisa	una variedad de comida; manjar de ulluku, charque, papa y ají de pollo; cierto plato de pollo con otros condimentos	charque; saqta; [tipo di piatto a base di olluco (papalisa) e pollo]	plat de viande et de pommes de terre
18238	grob gemahlen	coarsely grinded	molido grueso	macinato grosso	
18239	erdbewohnende Larve	soil-living larva	larva de tierra	larva di terra	
18240	rituelles Geld	ritual money	dinero ritual	denaro rituale	
18241	Ritus	ritual; rite	rito	rito	
18242	Zeremonie	ceremony	ceremonia	cerimonia	
18243	anbieten; darbieten; vorstellen; vorstellen	to offer; to present; to present	ofrecer; presentar; presentar	offrire; presentare; presentare	
18244	Kartoffel (Art)	type of potato	especie de papa	patata; [specie di patata]	
18245	gespalten; gesprungen	split; cracked	partido; resquebrajado	diviso; rotto a metà	
18246	Mais	corn; maize	maíz; maiz	mais	maïs
18247	Maismehl	cornmeal	harina de maíz	farina di mais	
18248	gerösteter Mais	toasted corn	maíz tostado	mais tostato	
18249	Iss gerösteten Mais!	Eat toasted corn!; eat toasted maize!	¡Cóme cancha!	Mangia il mais tostato!	
18250	Ort und Kichwa-Gemeinde in der Provinz Loja (Ecuador); (span.) Saraguro	place and Kichwa community in the province of Loja (Ecuador); (Span.) Saraguro	pueblo y comunidad quichua en la provincia de Loja (Ecuador); (esp.) Saraguro	Saraguro; [paese e comunità quechua nella provincia di Loja, Ecuador]	
18251	Maismehl	cornmeal	harina de maíz	farina di mais	
18252	brennbarer Strauch (Art)	kind of burnable shrub	variedad de arbusto combustible	saramama; [varietà di arbusto commestibile]	
18253	Gottheit, die die Maissaaten beschützt; Mutter Mais	deity protecting the maize sowings; Mother Corn	deidad protectora de los sembradíos de maíz; Madre Maíz	Madre Mais; [divinità protettrice dei campi di mais]	
18254	gekochter trockener Mais	cooked dry corn	mote de maíz	mote di mais; [mais cotto e seccato]	
18255	Baum (Art) des Regenwalds, 11-16 m hoch	kind of jungle tree, 11-16 m high	especie de árbol de la selva de altura de 11 a 16 m (estrato del subdosel)	sara muyu; [tipo di albero della selva di altezza compresa tra 11 e 16 m.]	
18256	Spalte	crevice; rift	rendija	scanalatura; fessura	
18257	Zeit des Beginns der Maisernte (Juni)	time of beginning the corn harvest (June)	tiempo del inicio de la cosecha de maíz (junio)	giugno; [epoca dell'inizio del raccolto del mais]	
18258	Hüllblatt des Maiskolbens	husk; leaf covering the corn cob	hollejos del maíz aventado	fogliame del mais	
18259	geschälter Mais	peeled corn	maíz pelado	mais pelato	maïs pelé
18260	wilde Pflanze (Art), Stern-Pflanze des Maises	kind of wild plant, star plant of maize	especie de planta (la seña del maíz)	sara phiña; [tipo di pianta, pianta illa del mais]	
18261	Unkraut, das jungen Maispflanzen ähnelt	a weed similar to young maize plants	una mala yerba semejante a las plantas tiernas de maíz	sara qiwa; [pianta simile alle piantine del mais]	
18262	andines Sternbild des Pflugs	Plough (Andean constellation)	constelación andina del Arado	Aratro; [costellazione andina]	
18263	maisgelb; orange	corn yellow; orange	amarillo como el maíz; anaranjado	giallo mais; arancione	
18264	Schlangenhalsvogel; Vogel (Art)	anhinga; kind of bird	sharara; especie de ave	sharara; anhinga; [tipo di uccello]	
18265	Maisfeld	maize field; corn field	maizal; maizales	campo di mais	
18266	Maisbrot	corn bread	pan de maíz	pane di mais	
18267	Maisernte	harvest of corn	cosecha del maíz; deshoje de maíz	raccolta del mais	récolte du maïs
18268	rot und gelb blühende Pflanze (Art)	type of red and yellow flowering plant	especie de planta de flores rojas y amarillas	sara t'ika; [tipo di pianta dai fiori gialli e rossi]	
18269	Ort und Kichwa-Gemeinschaft (etwa 1500-2000 Menschen) im östlichen Regenwald von Ecuador (Provinz Pastaza), am Fluss Bobonaza, bekannt durch ihren Widerstand gegen die Ausbeutung ihres Landes durch den argentinischen Erdölkonzern Compañía General de Combustibles (CGC); (span.) Sarayacu (<Wasser/Fluss des Maises)	place and Kichwa community (1500-2000 people) in the eastern rainforest region of Ecuador (province of Pastaza), on the Bobonaza River, known for their resistance against exploitation of their land by the Argentinian petroleum company Compañía General de Combustibles (CGC); (Span.) Sarayacu (<water/river of maize/corn)	una comunidad quichua (1500-2000 habitantes) en la selva oriental de Ecuador (provincia de Pastaza), a orillas del río Bobonaza, conocida por su resistencia contra la explotación de su tierra por la empresa petrolera argentina Compañía General de Combustibles (CGC); (esp.) Sarayacu (<agua/río de maíz)	Sarayacu; [comunità quechua (1500-2000 abitanti) nella selva orientale dell'Ecuador, nella provincia di Pastaza, sulle sponde del fiume Bobanaza, conosciuta per la sua resistenza contro lo sfruttamento della loro terra dall'impresa petrolifera argentina Compagnia Generale di Combustibili (CGC)]; [lit. que: fiume (mayu) di mais (sara)]	
18270	reifen (Mais)	to ripen (corn / maize)	madurar el maíz	maturare; [riferito al mais]	
18271	blind	blind	ciego	cieco	
18272	weißer, blauäugiger Mensch	white, blue-eyed person	persona de ojos azules y blanco; ojos azules	uomo dagli occhi azzurri	
18273	Skorbut	scorbute	escorbuto	scorbuto	
18274	Ohrring	earring	arete; pendiente	orecchino	
18275	sich verwickeln (Tiere in Seilen); sich verstricken (Tiere in Seilen)	to be entangled (animals in ropes)	enredarse los animales con sus sogas	ingarbugliarsi; [riferito agli animali che si attorcigliano con la propria corda]	
18276	Bratpfanne	frying pan	sartén	tegame	
18277	betreten lassen	to make tread	hacer pisar; hacer trillar	fare schiacciare; fare calpestare; fare trebbiare	
18278	am anderen Tag; neulich	the other day; recently	tiempo pasado; el otro día; hace poco	passato; l'altro giorno; poco tempo fa	
18279	Vergangenheit	past	pasado	passato	
18280	sich paaren (Tiere); einander treten	to tread (animals); to mate; to copulate	pisotearse mútuamente; aparearse los animales; copular los cuadrúpedos; copular	schiacciarsi reciprocamente; accoppiarsi; [riferito agli animali]	
18281	er, sie kam vorher	he, she came previously	vino la vez anterior, anteriormente	è già venuta la volta scorsa; è già venuto la volta scorsa	
18282	das andere Mal	the other time	la otra vez	l'altra volta; la volta scorsa	
18283	neulich; vor kurzem	recently; a moment ago	hace poco tiempo	poco tempo fa	
18284	Vergangenheit	past	pasado	passato	
18285	Vergangenheit (Präteritum) (auf Ketschua: -rqa-/-rka-)	past tense (in Quechua: -rqa-/-rka-)	tiempo pasado (en quechua: -rqa-/-rka-)	tempo passato; [si forma con i particelle -rqa- e -rka- seguiti dal suffisso riguardante la voce verbale]	
18286	in den vergangenen Jahren; im anderen Jahr	in the past years; the other year	en los años pasados; el otro año	gli anni passati; l'anno scorso	
18287	Vorfahre	ancestor	antepasado	antenato	
18288	betreten; festgetreten; festgestampft	treaded	pisado; ultrajado	calpestato	
18289	einer Spur folgen; nachspüren; Spur verfolgen	to follow a track; to trace	seguir el rastro; seguir la huella; rastrear (seguir huella); seguir las huellas	seguire le impronte; stare con il fiato sul collo	
18290	Fußabdruck; Spur	track	pisada; huella	impronta	
18291	betreten; feststampfen; festtreten	to tread down; to step onto; to step on; to exploit; to rule	pisar; apisonar; explotar; atropellar; oprimir; trillar; hollar; maltratar; aplastar con el pie; pisotear	calpestare; sfruttare; schiacciare; opprimere; maltrattare; schiacciare un piede; trebbiare	piétiner; fouler; marcher sur
18292	bedecken (Weibchen durch Männchen); sich paaren	to cover the female animal (by the male); to tread (animals); to mate; to copulate	cubrir el animal macho a la hembra; aparearse las aves; aparear las aves	coprire la femmina di un animale; copulare; [riferito ad animali]	
18293	zertreten	to tread down	pisotear	calpestare	
18294	stampfen	to tread	pisar; patalear; pisar con cuidado	calpestare; scalciare	piétiner
18295	zertreten helfen	to help to tread down	ayudar a pisotear	aiutare a calpestare	
18296	eilends; schnell	hurried; quickly	muy de prisa; rápidamente	molto di fretta; rapidamente	vite; rapidement
18297	schwierig	difficult	difícil; trabajoso; arduo; difícil de hacer; imposible de ser realizado	difficile; laborioso; arduo	difficile
18298	Schwierigkeit	difficulty	dificultad	difficoltà	
18299	Schwierigkeit; Problem	problem	problema	problema	
18300	Schwierigkeiten haben; Problem haben	to have problems	dificultarse	avere problemi	
18301	Schwierigkeit	difficulty	dificultad; obstáculo; impedimento	difficoltà; ostacolo; impedimento	
18302	erschweren	to make difficult	obstaculizar; dificultar	ostacolare; rendere difficile	
18303	ist es schwer?	is it difficult?	¿es difícil?	È difficile?	
18304	Dysmenorrhoe	dysmenorrhoa	dismenorrea; disminorrea	mestruazione dolorosa	
18305	Schluckstörung; Dysphagie	dysphagia	disfagia	disfagia; [difficoltà di deglutizione]	
18306	schwieriger Weg	difficult road	camino difícil	cammino facile; sentiero facile	
18307	schwierig zu tun	difficult to do	difícil de hacer	difficile da fare	
18308	Atemstörung; Dyspnoe	dyspnoea	disnea; disnia	dispnea; difficoltà respiratoria; mancanza d'aria	
18309	schwierige Naht	difficult seam; difficult suture	costura difícil	cucitura difficile	
18310	Aufgabe; Problem	problem	problema	problema	
18311	möglicher (wahrscheinlicher) ursprünglicher Name von Saksaywaman, der Inka-Festung von Qosqo (bedeutet Königsadler und nicht gesättigter Falke wie allgemein angenommen)	possible (probable) original name of Saksaywaman, the Inka fortress of Qosqo (meaning royal golden eagle and not satisfied falcon as generally interpreted)	probablemente el nombre original de Sacsayhuaman, la fortaleza del Inca en el Cuzco (significa Águila real la mayor y no halcón satisfecho como se ha interpretado generalmente); (esp. hist.) Çaçça Huaman, Çaççay Huaman	Sasawaman; [probabilmente il nome originale di Sacsayhuaman, la fortezza dell'Inca nella città del Cuzco; significa aquila reale maggiore, e non falcone soddisfatto come interpretato successivamente]; [lit. que: falcone (huaman) soddisfatto (saksay)]; [lit. aquila reale maggiore (sasawuaman)]	
18312	Aufgabe; Problem	problem	problema	problema	
18313	reichlich Früchte tragen	to bear fruits abundantly	abundar (en frutas)	abbondare; [riferito alla frutta]	
18314	erschweren	to make difficult	dificultar	rendere difficile	
